ledger_id,employee_id,plan_code,plan_name,period,opening_balance,accrued_days,taken_days,adjusted_days,closing_balance,max_entitlement,last_updated,updated_by,ledger_status
LDGF9UA8AASE,,CL-PLAN-03,Casual Leave,INVALID-PERIOD,,-5.0,24.59,1.95,42.0,20,2023-09-08,EMP00021,Revised
LDG67PJM0M4Q,EMP00607,PL-PLAN-05,Paternity Leave,2025-Q1,11.37,3.21,1.16,-1.68,11.74,20,2023-03-06,EMP00010,Final
LDGVFYN3Y6H5,EMP00083,AL-PLAN-01,Annual Leave,2024-Q1,12.4,2.07,10.07,1.95,6.35,20,2025-05-09,EMP00029,Revised
LDGNV408C1TX,EMP00062,CL-PLAN-03,Casual Leave,2023-Q4,19.83,9.17,21.92,1.33,8.41,20,2023-08-14,EMP00006,Revised
LDG458YTNZ7U,EMP00658,UL-PLAN-07,Unpaid Leave,2024-Q1,20.15,4.4,12.95,-2.37,9.23,25,2023-02-02,EMP00038,Final
LDGJDJ46XO3S,EMP00650,BL-PLAN-08,Bereavement Leave,2024-Q1,18.54,3.38,12.04,0.45,10.33,30,2023-06-20,EMP00036,Revised
LDGS7EE02R7P,EMP00359,ML-PLAN-04,Maternity Leave,2024-Q4,18.88,2.76,16.22,1.43,6.85,15,2024-06-28,EMP00034,Final
LDG6CFTFDF34,EMP00326,UL-PLAN-07,Unpaid Leave,2023-Q4,0.84,4.51,1.52,0.84,4.67,25,2024-04-21,EMP00022,Draft
LDGXZ76JHN9N,EMP00725,ML-PLAN-04,Maternity Leave,2023-Q4,4.66,9.0,7.12,-0.39,6.15,18,2025-03-17,EMP00043,Final
LDGY3PK8BQ38,EMP00160,AL-PLAN-01,Annual Leave,2024-Q4,15.58,5.4,17.73,-2.79,-1.46,20,2023-07-27,EMP00049,Final
LDGNML9J2PB3,EMP00422,AL-PLAN-01,Annual Leave,2024-Q4,6.78,5.13,7.43,1.21,5.69,25,2024-04-15,EMP00049,Final
LDGXXR8MVXZ1,EMP00487,CO-PLAN-06,Compensatory Off,2024-Q4,8.57,6.12,10.92,-2.79,0.98,15,2023-11-01,EMP00044,Final
LDGLQCV0L4GM,EMP00553,CO-PLAN-06,Compensatory Off,2023-Q3,24.89,2.04,22.42,-2.32,2.19,21,2024-08-27,EMP00008,Final
LDG5H0IKPG8Y,,BL-PLAN-08,Bereavement Leave,2023-Q4,4.33,6.95,10.84,0.89,1.33,25,2024-08-03,EMP00024,Final
LDGD7EMXVJAG,EMP00202,AL-PLAN-01,Annual Leave,2023-Q1,3.94,0.24,0.69,-0.33,3.16,15,2023-03-27,EMP00007,Final
LDGT3OH2THWW,EMP00645,SL-PLAN-02,Sick Leave,2023-Q4,14.79,3.68,12.08,-2.99,3.4,21,2023-08-19,EMP00007,Final
LDG1L62D1NFP,EMP00157,AL-PLAN-01,Annual Leave,2024-Q3,7.39,1.85,2.27,2.39,9.36,15,2023-11-17,EMP00002,Final
LDGTPU62X4OD,EMP00706,BL-PLAN-08,Bereavement Leave,2023-Q1,14.57,-5.0,9.15,0.01,6.98,30,2024-02-19,EMP00028,Final
LDGU4C1QC692,EMP00039,UL-PLAN-07,Unpaid Leave,2024-Q3,22.57,8.04,23.25,-0.23,-8.129999999999999,21,2025-03-05,EMP00017,Final
LDGJE7J5TYDZ,EMP00014,UL-PLAN-07,Unpaid Leave,2023-Q4,0.2,6.69,2.98,1.1,5.01,15,2023-08-25,EMP00045,Final
LDGB2M38PCF6,EMP00076,CL-PLAN-03,Casual Leave,2023-Q4,18.94,4.99,10.78,-1.93,11.22,21,2024-06-11,EMP00002,Draft
LDGGNBC5TNVO,EMP00351,CL-PLAN-03,Casual Leave,2023-Q2,18.97,0.56,4.96,0.26,45.0,20,2023-03-06,EMP00039,Final
LDGVU3BLV6EE,EMP00276,UL-PLAN-07,Unpaid Leave,2024-Q3,12.61,4.76,3.68,-2.11,11.58,20,2023-03-19,EMP00029,Draft
LDGO88BMYCT8,EMP00241,CO-PLAN-06,Compensatory Off,2023-Q2,0.49,9.2,5.58,-0.56,3.55,15,2023-03-31,EMP00006,Draft
LDGJ31YR7RNH,EMP00632,PL-PLAN-05,Paternity Leave,2024-Q4,0.28,0.11,0.18,-0.13,0.08,15,2024-07-29,EMP00006,Final
LDG6MR0SF61R,EMP00114,PL-PLAN-05,Paternity Leave,INVALID-PERIOD,10.99,0.81,5.89,0.93,6.84,18,2025-06-20,EMP00045,Revised
LDGI47YH3PIS,,UL-PLAN-07,Unpaid Leave,2024-Q4,24.64,3.26,19.07,0.47,9.3,30,2024-02-15,EMP00029,Draft
