summary_id,employee_id,month_year,working_days,days_present,days_absent,days_wfh,late_arrivals,early_departures,overtime_hours,total_hours_logged,attendance_pct,leave_days_taken,loss_of_pay_days,department,shift,approved_by
ATTEFXQ2OHH,,2025-02,0,26,-1,4,27,3,-5.0,,150.0,0,0,Finance,Day,EMP00049
ATT5H8A209I,EMP00251,2024-05,22,19,3,1,4,0,3.0,155.0,86.4,3,0,Legal,Flexible,EMP00032
ATT0AXJ4TP4,EMP00728,2025-02,23,19,4,8,0,1,1.9,153.9,82.6,3,2,Marketing,Day,EMP00007
ATTV3USYIUH,EMP00668,2024-10,22,17,5,4,2,0,4.6,140.6,77.3,0,2,Legal,Flexible,EMP00034
ATTYFNS2N4I,EMP00338,2023-09,21,15,6,7,0,3,7.7,127.7,71.4,5,2,Legal,Night,EMP00002
ATTNBADRMC1,EMP00686,2024-02,23,22,1,8,1,2,2.3,178.3,95.7,1,2,Sales,Day,EMP00034
ATTY2VH5PYH,EMP00727,2023-02,20,16,4,1,3,3,7.5,135.5,80.0,1,0,Product,Day,EMP00023
ATT3JQ0ZHGI,EMP00046,2023-04,22,20,2,8,4,2,18.9,178.9,90.9,0,1,Sales,Day,EMP00039
ATTDLBGWM3S,EMP00724,2024-12,23,18,5,2,4,1,14.5,158.5,78.3,3,2,Sales,Day,EMP00003
ATTGMT6G802,EMP00391,2024-12,21,23,0,10,0,0,14.0,182.0,100.0,0,2,Engineering,Night,EMP00040
ATT2URJQVPW,EMP00176,2025-01,20,15,5,6,0,0,7.9,127.9,75.0,4,0,Sales,Day,EMP00005
ATTALXTP9VF,EMP00096,2024-01,21,18,3,5,4,1,4.8,148.8,85.7,2,2,Engineering,Day,EMP00041
ATTNHG738AM,EMP00393,2023-12,23,20,3,3,2,3,3.1,163.1,87.0,0,2,Operations,Day,EMP00035
ATT0OW01F4G,EMP00029,2024-09,20,18,-1,5,4,2,4.5,148.5,90.0,0,2,Sales,Day,EMP00040
ATT4MADW1WL,EMP00585,2025-05,22,21,1,7,2,3,7.8,175.8,95.5,1,2,Sales,Night,EMP00047
ATTY9QHGJ20,EMP00480,2023-11,23,22,1,1,5,2,2.8,178.8,95.7,0,1,Finance,Flexible,EMP00046
ATTZQ0W9UMM,EMP00190,2024-08,23,17,6,8,5,0,7.3,143.3,73.9,3,0,Sales,Day,EMP00029
ATT8M41UJML,,2025-06,22,21,1,1,1,2,13.1,181.1,95.5,1,0,Operations,Day,EMP00005
ATTZTVZB26R,EMP00537,2024-04,20,22,2,9,1,1,9.7,153.7,90.0,0,1,Product,Day,EMP00026
ATTDVCBRMTG,EMP00553,2024-12,20,16,4,8,4,1,13.4,141.4,80.0,1,2,Engineering,Day,EMP00034
ATTLLWBJTQK,EMP00107,2024-09,20,18,2,9,3,3,4.9,148.9,90.0,1,2,Sales,Flexible,EMP00018
ATT20AY44J5,EMP00133,2025-04,22,22,0,2,2,0,12.2,188.2,100.0,0,2,Engineering,Day,EMP00027
ATTSTOYXUBY,EMP00136,2023-02,20,19,1,3,1,3,-5.0,165.5,95.0,1,1,Operations,Day,EMP00031
ATTRPJQ7CB8,EMP00220,2024-09,20,20,0,3,5,0,1.1,161.1,100.0,0,0,Sales,Day,EMP00050
ATTUBQO52M8,EMP00168,2024-06,20,20,0,1,4,1,18.1,178.1,100.0,0,2,Legal,Flexible,EMP00007
