holiday_id,holiday_name,holiday_date,day_of_week,holiday_type,location,country,year,is_optional,applicable_depts,created_by,created_date
HOL000001,Labor Day,2023-01-16,Monday,Company Holiday,New York,USA,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000002,New Year,2023-07-28,Friday,Religious Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000003,Memorial Day,2023-12-17,Sunday,Bank Holiday,New York,USA,2023,Y,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000004,New Year,2023-05-27,Saturday,Religious Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000005,Christmas,2023-04-16,Sunday,Company Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000006,Independence Day,2023-10-21,Saturday,National Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000007,,2023-06-08,Thursday,Bank Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000008,Labor Day,2023-08-03,Thursday,Bank Holiday,New York,USA,2023,Y,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000009,Christmas,2023-07-08,Saturday,National Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000010,MLK Day,2023-02-11,Saturday,Religious Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000011,Labor Day,2023-11-20,Monday,National Holiday,New York,USA,2023,Y,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000012,Presidents Day,INVALID-DATE-FORMAT,Wednesday,Bank Holiday,New York,USA,2023,Y,All,HR_ADMIN,2022-11-15
HOL000013,Christmas,2023-12-14,Thursday,National Holiday,New York,USA,2023,N,All,HR_ADMIN,2022-11-15
HOL000014,,2023-03-12,Sunday,Optional Holiday,London,UK,2023,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000015,Good Friday,2023-11-23,Thursday,Optional Holiday,London,UK,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000016,Spring Bank Holiday,2023-07-01,Saturday,Optional Holiday,London,UK,2023,N,All,HR_ADMIN,2022-11-15
HOL000017,Early May Bank Holiday,2023-09-02,Saturday,Optional Holiday,London,UK,2023,N,All,HR_ADMIN,2022-11-15
HOL000018,Christmas Day,2023-11-22,Wednesday,Religious Holiday,London,UK,2023,N,All,HR_ADMIN,2022-11-15
HOL000019,Christmas Day,2023-05-29,Monday,Religious Holiday,London,UK,2023,N,All,HR_ADMIN,2022-11-15
HOL000020,Good Friday,2023-06-19,Monday,Bank Holiday,London,UK,1899,Y,All,HR_ADMIN,2022-11-15
HOL000021,,2023-01-13,Friday,Optional Holiday,London,UK,2023,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000022,Christmas Day,2023-12-09,Saturday,Religious Holiday,London,UK,2023,N,All,HR_ADMIN,2022-11-15
HOL000023,Boxing Day,2023-04-19,Wednesday,Optional Holiday,London,UK,2023,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000024,Early May Bank Holiday,INVALID-DATE-FORMAT,Thursday,Bank Holiday,London,UK,2023,N,All,HR_ADMIN,2022-11-15
HOL000025,Spring Bank Holiday,2023-12-06,Saturday,Optional Holiday,London,UK,2023,Y,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000026,Independence Day,2023-11-19,Sunday,Optional Holiday,Mumbai,India,2023,Y,All,HR_ADMIN,2022-11-15
HOL000027,New Year,2023-03-25,Saturday,Bank Holiday,Mumbai,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000028,,2023-07-29,Saturday,Bank Holiday,Mumbai,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000029,Eid ul-Fitr,2023-12-28,Thursday,Company Holiday,Mumbai,India,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000030,Republic Day,2023-09-20,Wednesday,Company Holiday,Mumbai,India,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000031,Republic Day,2023-07-03,Monday,Religious Holiday,Mumbai,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000032,Independence Day,2023-11-02,Thursday,National Holiday,Mumbai,India,2023,Y,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000033,Holi,2023-03-10,Friday,Religious Holiday,Mumbai,India,2023,Y,All,HR_ADMIN,2022-11-15
HOL000034,Dussehra,2023-01-03,Tuesday,National Holiday,Mumbai,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000035,,2023-08-15,Tuesday,National Holiday,Mumbai,India,2023,Y,All,HR_ADMIN,2022-11-15
HOL000036,Dussehra,INVALID-DATE-FORMAT,Wednesday,National Holiday,Mumbai,India,2023,Y,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000037,Independence Day,2023-05-28,Sunday,Religious Holiday,Mumbai,India,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000038,Holi,2023-04-04,Tuesday,National Holiday,Mumbai,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000039,Republic Day,2023-03-06,Monday,Bank Holiday,Bengaluru,India,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000040,Independence Day,2023-12-01,Friday,National Holiday,Bengaluru,India,1899,Y,All,HR_ADMIN,2022-11-15
HOL000041,Dussehra,2023-06-21,Wednesday,Religious Holiday,Bengaluru,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000042,,2023-11-03,Friday,Company Holiday,Bengaluru,India,2023,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000043,Eid ul-Fitr,2023-03-30,Thursday,Bank Holiday,Bengaluru,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000044,Independence Day,2023-07-10,Monday,Religious Holiday,Bengaluru,India,2023,N,All,HR_ADMIN,2022-11-15
HOL000045,Christmas,2023-01-25,Wednesday,Religious Holiday,Bengaluru,India,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000046,New Year,2023-11-29,Wednesday,Optional Holiday,Bengaluru,India,2023,Y,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000047,Eid ul-Fitr,2023-04-02,Sunday,National Holiday,Bengaluru,India,2023,Y,All,HR_ADMIN,2022-11-15
HOL000048,Dussehra,INVALID-DATE-FORMAT,Sunday,Bank Holiday,Bengaluru,India,2023,Y,All,HR_ADMIN,2022-11-15
HOL000049,,2023-10-12,Thursday,Bank Holiday,Bengaluru,India,2023,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000050,Christmas,2023-07-16,Sunday,Religious Holiday,Bengaluru,India,2023,Y,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000051,New Year,2023-03-06,Monday,National Holiday,Bengaluru,India,2023,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000052,Good Friday,2023-08-02,Wednesday,Company Holiday,Singapore,Singapore,2023,N,All,HR_ADMIN,2022-11-15
HOL000053,Christmas,2023-08-03,Thursday,Religious Holiday,Singapore,Singapore,2023,N,All,HR_ADMIN,2022-11-15
HOL000054,Chinese New Year,2023-07-01,Saturday,National Holiday,Singapore,Singapore,2023,N,All,HR_ADMIN,2022-11-15
HOL000055,Hari Raya Puasa,2023-09-08,Friday,National Holiday,Singapore,Singapore,2023,Y,All,HR_ADMIN,2022-11-15
HOL000056,,2023-12-10,Sunday,Religious Holiday,Singapore,Singapore,2023,N,All,HR_ADMIN,2022-11-15
HOL000057,Good Friday,2023-11-27,Monday,Bank Holiday,Singapore,Singapore,2023,N,All,HR_ADMIN,2022-11-15
HOL000058,Good Friday,2023-02-27,Monday,Bank Holiday,Singapore,Singapore,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000059,Good Friday,2023-11-25,Saturday,Bank Holiday,Singapore,Singapore,2023,Y,All,HR_ADMIN,2022-11-15
HOL000060,Christmas,INVALID-DATE-FORMAT,Sunday,Optional Holiday,Singapore,Singapore,1899,N,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000061,National Day,2023-07-05,Wednesday,Company Holiday,Singapore,Singapore,2023,N,All,HR_ADMIN,2022-11-15
HOL000062,Prophet Birthday,2023-06-09,Friday,National Holiday,Dubai,UAE,2023,Y,All,HR_ADMIN,2022-11-15
HOL000063,,2023-08-10,Thursday,National Holiday,Dubai,UAE,2023,N,All,HR_ADMIN,2022-11-15
HOL000064,New Year,2023-06-11,Sunday,Bank Holiday,Dubai,UAE,2023,Y,All,HR_ADMIN,2022-11-15
HOL000065,Eid ul-Fitr,2023-10-06,Friday,Bank Holiday,Dubai,UAE,2023,N,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000066,Islamic New Year,2023-04-05,Wednesday,National Holiday,Dubai,UAE,2023,Y,All,HR_ADMIN,2022-11-15
HOL000067,Eid ul-Fitr,2023-12-30,Saturday,Company Holiday,Dubai,UAE,2023,Y,"Sales,Marketing",HR_ADMIN,2022-11-15
HOL000068,Eid ul-Adha,2023-10-23,Monday,Company Holiday,Dubai,UAE,2023,Y,"Engineering,Finance",HR_ADMIN,2022-11-15
HOL000069,New Year,2023-05-29,Monday,Optional Holiday,Dubai,UAE,2023,N,All,HR_ADMIN,2022-11-15
