enrollment_id,employee_id,plan_id,plan_name,plan_code,plan_category,accrual_frequency,effective_start,effective_end,enrolled_by,enrollment_date,enrollment_status,annual_entitlement,carryover_allowed,max_carryover_days
ENRI1JNYT7R,,,Unpaid Leave,INVALID_PLAN_XXX,Statutory,Monthly,NOT-A-DATE,2020-12-02,EMP00024,2035-01-01,Pending,-5,No,15.0
ENR4M8T1QOJ,,,Sick Leave,INVALID_PLAN_XXX,Unpaid,Monthly,NOT-A-DATE,2023-08-15,EMP00024,2035-01-01,Active,-5,No,
ENRMH7F2V97,,,Paternity Leave,INVALID_PLAN_XXX,Paid,Annual,NOT-A-DATE,2022-07-06,EMP00002,2035-01-01,Inactive,-5,Yes,0.0
ENRNEO69XPT,EMP00002,PLN3070,Sick Leave,SL-PLAN-02,Unpaid,One-Time,2023-06-18,2024-06-17,EMP00004,2023-06-18,Inactive,15,Yes,0.0
ENRFGGFHU12,EMP00002,PLN5220,Bereavement Leave,BL-PLAN-08,Paid,Per-Incident,2020-07-16,2021-07-16,EMP00012,2020-07-16,Active,20,Yes,
ENRHO3OOND5,EMP00002,PLN7111,Casual Leave,CL-PLAN-03,Statutory,One-Time,2020-04-07,2022-04-07,EMP00050,2020-04-07,Pending,18,Yes,5.0
ENRYIK1CP8J,EMP00003,PLN9243,Paternity Leave,PL-PLAN-05,Unpaid,Per-Incident,2021-03-23,2024-03-22,EMP00031,2021-03-23,Inactive,20,Yes,10.0
ENR3FNY5WZH,EMP00003,PLN6518,Annual Leave,AL-PLAN-01,Paid,Per-Incident,2022-04-18,2025-04-17,EMP00001,2022-04-18,Terminated,20,No,5.0
ENRX05I4MOE,EMP00003,PLN9712,Compensatory Off,CO-PLAN-06,Paid,Annual,2023-08-03,2025-08-02,EMP00034,2023-08-03,Terminated,15,Yes,5.0
ENR4PUW13VK,EMP00003,PLN1337,Casual Leave,CL-PLAN-03,Paid,Per-Incident,2021-06-24,2024-06-23,EMP00005,2021-06-24,Active,10,Yes,10.0
ENR2JL565ZO,EMP00004,PLN3930,Paternity Leave,PL-PLAN-05,Unpaid,Per-Incident,2022-03-19,2024-03-18,EMP00014,2022-03-19,Terminated,30,Yes,5.0
ENR66RGCIQA,EMP00004,PLN6402,Sick Leave,SL-PLAN-02,Unpaid,Annual,2022-09-08,2025-09-07,EMP00022,2022-09-08,Active,20,Yes,
ENRJE7OBSTK,EMP00004,PLN8193,Annual Leave,AL-PLAN-01,Paid,One-Time,2021-10-15,2023-10-15,EMP00015,2021-10-15,Inactive,12,Yes,5.0
ENR71GM8T0E,EMP00005,PLN3059,Paternity Leave,PL-PLAN-05,Paid,Monthly,2020-05-24,2023-05-24,EMP00035,2020-05-24,Active,10,Yes,5.0
ENRIV8F163P,EMP00005,PLN6037,Compensatory Off,CO-PLAN-06,Paid,Annual,2021-12-25,2024-12-24,EMP00010,2021-12-25,Pending,10,No,15.0
ENR29U0V65F,EMP00005,PLN3727,Casual Leave,CL-PLAN-03,Unpaid,Per-Incident,2023-10-28,2024-10-27,EMP00017,2023-10-28,Terminated,10,Yes,0.0
ENRKEPCMVLM,EMP00006,PLN6356,Casual Leave,CL-PLAN-03,Paid,One-Time,2021-08-07,2024-08-06,EMP00018,2021-08-07,Inactive,15,Yes,10.0
ENRS6IS9HXF,EMP00006,PLN2539,Sick Leave,SL-PLAN-02,Unpaid,Annual,2022-03-29,2024-03-28,EMP00037,2022-03-29,Active,18,No,5.0
ENRC5G1F7BO,EMP00006,PLN8311,Annual Leave,AL-PLAN-01,Paid,Monthly,2023-07-12,2025-07-11,EMP00038,2023-07-12,Inactive,21,Yes,5.0
ENR0RZDW6GR,EMP00007,PLN5070,Sick Leave,SL-PLAN-02,Paid,Per-Incident,2020-11-23,2021-11-23,EMP00011,2020-11-23,Active,18,No,
ENRZOUILURD,EMP00007,PLN1484,Casual Leave,CL-PLAN-03,Paid,One-Time,2021-04-09,2024-04-08,EMP00004,2021-04-09,Terminated,18,Yes,10.0
ENR6YATHNFO,EMP00007,PLN5998,Paternity Leave,PL-PLAN-05,Statutory,Per-Incident,2021-01-14,2023-01-14,EMP00013,2021-01-14,Pending,10,Yes,10.0
ENRA76IFCBH,EMP00008,PLN6628,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2020-06-09,2022-06-09,EMP00049,2020-06-09,Active,10,Yes,0.0
ENRC40RUNUX,EMP00008,PLN6358,Paternity Leave,PL-PLAN-05,Statutory,Per-Incident,2023-09-08,2025-09-07,EMP00008,2023-09-08,Terminated,18,Yes,0.0
ENRJLWHXSVJ,EMP00009,,Paternity Leave,PL-PLAN-05,Paid,Annual,2023-06-25,2024-06-24,EMP00019,2023-06-25,Pending,30,Yes,10.0
ENRVT5DK1C7,EMP00009,,Casual Leave,CL-PLAN-03,Statutory,One-Time,2022-11-09,2023-11-09,EMP00022,2022-11-09,Active,10,Yes,
ENRPXVAELHX,EMP00010,PLN2751,Casual Leave,CL-PLAN-03,Paid,One-Time,2022-04-19,2023-04-19,EMP00019,2022-04-19,Inactive,15,Yes,5.0
ENRD41NDJSJ,EMP00010,PLN3593,Unpaid Leave,UL-PLAN-07,Unpaid,Annual,2023-12-16,2025-12-15,EMP00003,2023-12-16,Active,20,Yes,15.0
ENR45S3JJGK,EMP00011,PLN4118,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,2022-09-18,2023-09-18,EMP00033,2022-09-18,Inactive,21,Yes,5.0
ENR2UM2O2AD,EMP00011,PLN8502,Bereavement Leave,BL-PLAN-08,Paid,Annual,2023-02-12,2025-02-11,EMP00001,2023-02-12,Inactive,12,No,10.0
ENRL3YGWL8H,EMP00012,PLN7627,Sick Leave,SL-PLAN-02,Unpaid,Annual,2021-06-12,2024-06-11,EMP00029,2021-06-12,Terminated,30,Yes,5.0
ENRBL67643W,EMP00012,PLN7957,Bereavement Leave,BL-PLAN-08,Statutory,One-Time,2021-12-13,2022-12-13,EMP00011,2021-12-13,Terminated,15,Yes,0.0
ENRBT8U4GL8,EMP00013,PLN2646,Compensatory Off,CO-PLAN-06,Statutory,Per-Incident,NOT-A-DATE,2022-09-19,EMP00003,2020-09-19,Terminated,25,No,5.0
ENRWRPTNV3N,EMP00013,PLN2721,Sick Leave,SL-PLAN-02,Paid,Per-Incident,NOT-A-DATE,2021-03-23,EMP00009,2020-03-23,Active,20,Yes,0.0
ENREXK7OEY9,EMP00014,PLN3124,Unpaid Leave,UL-PLAN-07,Unpaid,Annual,2021-04-30,2024-04-29,EMP00036,2021-04-30,Terminated,15,No,15.0
ENREK0D8BRR,EMP00014,PLN2086,Casual Leave,CL-PLAN-03,Unpaid,Per-Incident,2022-12-08,2025-12-07,EMP00016,2022-12-08,Active,15,Yes,0.0
ENR887M09C3,EMP00014,PLN1255,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,2021-12-28,2024-12-27,EMP00042,2021-12-28,Pending,30,Yes,5.0
ENRGE43Q4A3,EMP00015,PLN1534,Annual Leave,AL-PLAN-01,Unpaid,Annual,2023-08-04,2025-08-03,EMP00041,2023-08-04,Active,18,Yes,10.0
ENRKM6YBL3T,EMP00015,PLN4291,Paternity Leave,PL-PLAN-05,Statutory,One-Time,2022-10-17,2023-10-17,EMP00044,2022-10-17,Terminated,15,Yes,15.0
ENRZZJVRU1B,EMP00015,PLN5097,Sick Leave,SL-PLAN-02,Paid,Monthly,2020-06-11,2022-06-11,EMP00044,2020-06-11,Active,15,No,10.0
ENROO5NFFQJ,EMP00015,PLN8886,Compensatory Off,CO-PLAN-06,Statutory,Per-Incident,2021-06-07,2023-06-07,EMP00047,2021-06-07,Inactive,21,No,
ENRF8HEY91T,EMP00016,PLN6382,Unpaid Leave,UL-PLAN-07,Paid,Annual,2023-09-30,2026-09-29,EMP00006,2023-09-30,Inactive,18,Yes,5.0
ENRO8MG0DQH,EMP00016,PLN5289,Paternity Leave,PL-PLAN-05,Unpaid,Per-Incident,2021-05-15,2024-05-14,EMP00033,2021-05-15,Active,15,Yes,
ENRRN489QQS,EMP00017,,Unpaid Leave,UL-PLAN-07,Statutory,One-Time,2023-06-29,2024-06-28,EMP00040,2023-06-29,Pending,12,Yes,0.0
ENRGMAP830E,EMP00017,,Casual Leave,CL-PLAN-03,Statutory,One-Time,2023-10-15,2025-10-14,EMP00035,2023-10-15,Active,12,No,
ENR81JM981B,EMP00017,,Bereavement Leave,BL-PLAN-08,Statutory,Monthly,2021-01-21,2022-01-21,EMP00014,2021-01-21,Active,15,Yes,10.0
ENR3M6IAQG8,EMP00017,,Sick Leave,SL-PLAN-02,Unpaid,Per-Incident,2022-09-02,2024-09-01,EMP00050,2022-09-02,Terminated,21,No,15.0
ENRRQJVL9BP,EMP00018,PLN7112,Paternity Leave,PL-PLAN-05,Statutory,Annual,2022-09-10,2025-09-09,EMP00012,2022-09-10,Terminated,21,Yes,
ENRJL087OVI,EMP00018,PLN6058,Unpaid Leave,UL-PLAN-07,Statutory,Annual,2021-11-25,2024-11-24,EMP00006,2021-11-25,Pending,12,Yes,5.0
ENRNLHI4T2O,EMP00018,PLN1118,Compensatory Off,CO-PLAN-06,Unpaid,Per-Incident,2020-08-16,2022-08-16,EMP00013,2020-08-16,Pending,20,Yes,5.0
ENRB9QCKMJL,EMP00019,PLN4917,Annual Leave,AL-PLAN-01,Paid,Monthly,2020-05-06,2020-04-06,EMP00017,2020-05-06,Pending,12,Yes,
ENRWYLNFW91,EMP00019,PLN4517,Compensatory Off,CO-PLAN-06,Unpaid,One-Time,2020-12-26,2020-11-26,EMP00018,2020-12-26,Pending,18,Yes,5.0
ENR2HTZG9J4,EMP00020,PLN1241,Annual Leave,AL-PLAN-01,Paid,Annual,2021-11-27,2023-11-27,EMP00011,2021-11-27,Active,18,Yes,0.0
ENRC07232GN,EMP00020,PLN1768,Compensatory Off,CO-PLAN-06,Unpaid,Monthly,2020-06-01,2021-06-01,EMP00031,2020-06-01,Inactive,30,Yes,0.0
ENRYXLBHHSL,EMP00020,PLN4856,Sick Leave,SL-PLAN-02,Statutory,One-Time,2021-12-26,2022-12-26,EMP00008,2021-12-26,Terminated,25,No,0.0
ENRHGPC64CI,EMP00021,PLN9479,Casual Leave,CL-PLAN-03,Statutory,Annual,2020-09-01,2021-09-01,EMP00044,2020-09-01,Pending,30,Yes,
ENRPU0QM9RI,EMP00021,PLN9386,Maternity Leave,ML-PLAN-04,Statutory,Annual,2021-06-03,2024-06-02,EMP00009,2021-06-03,Active,12,No,
ENR1KANY5VC,EMP00022,PLN4240,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2023-04-14,2025-04-13,EMP00024,2023-04-14,Inactive,15,Yes,10.0
ENR8MYHKHSD,EMP00022,PLN8904,Paternity Leave,PL-PLAN-05,Statutory,Monthly,2023-03-10,2025-03-09,EMP00031,2023-03-10,Terminated,20,Yes,5.0
ENRQAN1NETU,EMP00023,PLN3277,Paternity Leave,INVALID_PLAN_XXX,Unpaid,Monthly,2020-02-29,2023-02-28,EMP00035,2020-02-29,Terminated,18,No,0.0
