order_id,customer_id,product_name,category,quantity,unit_price,discount_pct,order_amount,order_date,delivery_date,order_status,shipping_city,shipping_country
ORD100000,CUST_GHOST_3,,Laptops,0,1299,1.8,-2182.32,2030-01-01,2022-12-02,Cancelled,Chennai,India
ORD100001,CUST00642,MacBook Air M3,Laptops,4,1099,0.15,3736.6,2024-12-10,2024-12-18,Shipped,Tokyo,Japan
ORD100002,CUST00304,Apple Watch Ultra,Wearables,4,799,0.12,2812.48,2022-08-29,2022-09-05,Processing,Tokyo,Japan
ORD100003,CUST00381,Sony WH-1000XM5,Audio,5,349,0.1,1570.5,2025-02-28,2025-03-11,Shipped,Hyderabad,India
ORD100004,CUST00823,AirPods Pro 2,Audio,5,249,0.21,983.55,2025-06-11,2025-06-23,Processing,Birmingham,UK
ORD100005,CUST00216,DJI Mini 4 Pro,Drones,3,759,0.14,1958.22,2023-11-08,2023-11-20,Shipped,Pune,India
ORD100006,CUST00427,Fitbit Charge 6,Wearables,4,149,0.0,596.0,2023-01-03,2023-01-06,Cancelled,Bengaluru,India
ORD100007,CUST00205,Laptop Pro 15,Laptops,3,1299,0.21,3078.63,2022-07-12,2022-07-21,Cancelled,New York,USA
ORD100008,CUST00609,ThinkPad X1,Laptops,1,1199,0.19,971.19,2022-11-17,2022-11-19,Processing,Toronto,Canada
ORD100009,CUST00015,Apple Watch Ultra,Wearables,2,799,0.1,1438.2,2023-01-30,2023-02-04,Processing,Houston,USA
ORD100010,CUST00786,Garmin Fenix 7,Wearables,3,699,0.11,1866.33,2024-04-05,2024-04-10,Returned,Dubai,UAE
ORD100011,CUST00106,iPhone 15 Pro,Phones,1,999,0.18,-819.18,2023-03-20,2023-03-25,Shipped,Jaipur,India
ORD100012,CUST00535,Garmin Fenix 7,Wearables,1,699,0.04,671.04,2025-04-17,2025-04-28,Cancelled,New York,USA
ORD100013,CUST00827,Garmin Fenix 7,Wearables,5,699,0.18,2865.9,2025-06-15,2025-06-26,Cancelled,Kolkata,India
ORD100014,CUST00222,Samsung Galaxy S24,Phones,1,799,0.24,607.24,2022-07-07,2022-07-20,Returned,Hyderabad,India
ORD100015,CUST_GHOST_0,iPad Pro 12.9,Tablets,2,1099,0.14,1890.28,2023-10-25,2023-10-27,Delivered,Hyderabad,India
ORD100016,CUST00484,Fitbit Charge 6,Wearables,4,149,0.13,518.52,2023-11-01,2023-11-06,Returned,Osaka,Japan
ORD100017,CUST00387,ThinkPad X1,Laptops,2,1199,0.17,1990.34,2024-02-29,2024-03-12,Cancelled,Los Angeles,USA
ORD100018,CUST00081,AirPods Pro 2,Audio,5,249,0.1,1120.5,2025-05-24,2025-06-07,Shipped,Pune,India
ORD100019,CUST00574,Sony WH-1000XM5,Audio,0,349,0.25,523.5,2024-06-23,2024-07-01,Processing,Sydney,Australia
ORD100020,CUST00668,ThinkPad X1,Laptops,5,1199,0.27,4376.35,2023-12-15,2023-12-18,Delivered,Los Angeles,USA
ORD100021,CUST00219,Sony A7 IV Camera,Cameras,3,2499,0.22,5847.66,2025-06-17,2025-06-26,Shipped,Chicago,USA
ORD100022,CUST00011,Mechanical Keyboard,Accessories,2,149,0.28,-214.56,2023-02-06,2023-02-14,Processing,Birmingham,UK
ORD100023,CUST00337,,Phones,1,999,0.18,819.18,2022-07-12,2022-07-18,Processing,Birmingham,UK
ORD100024,CUST00663,Laptop Pro 15,Laptops,5,1299,0.08,5975.4,2023-07-18,2023-07-29,Cancelled,Chicago,USA
ORD100025,CUST00059,MacBook Air M3,Laptops,3,1099,0.08,3033.24,2025-03-17,2025-03-31,Delivered,Melbourne,Australia
ORD100026,CUST00503,Canon EOS R6,Cameras,5,2499,0.19,10120.95,2022-12-22,2022-12-30,Returned,Chennai,India
ORD100027,CUST00731,MacBook Air M3,Laptops,3,1099,0.01,3264.03,2022-11-10,2022-11-22,Shipped,Hyderabad,India
ORD100028,CUST00123,Dell XPS 13,Laptops,4,999,0.25,2997.0,2022-04-25,2022-05-03,Delivered,New York,USA
ORD100029,CUST00874,ThinkPad X1,Laptops,5,1199,0.08,5515.4,2030-01-01,2023-02-13,Returned,Tokyo,Japan
ORD100030,CUST_GHOST_10,Laptop Pro 15,Laptops,3,1299,0.25,2922.75,2022-12-13,2022-12-23,Processing,Birmingham,UK
ORD100031,CUST00684,Laptop Pro 15,Laptops,4,1299,0.12,4572.48,2022-05-06,2022-05-08,Shipped,Osaka,Japan
