payment_id,order_id,customer_id,payment_method,payment_amount,payment_date,payment_status,currency,transaction_ref,gateway
PAY200000,ORD_GHOST_4,CUST00231,,-1719.95,2025-04-16,INVALID_STATUS,XYZ,,Stripe
PAY200001,ORD100206,CUST00045,Cash on Delivery,949.64,2022-11-26,Failed,GBP,H0C0IBZBW8P3,Razorpay
PAY200002,ORD101017,CUST00146,Net Banking,547.38,2024-10-31,Completed,USD,HCZDQ3W6BDJ7,Razorpay
PAY200003,ORD100609,CUST00487,Credit Card,4075.79,2023-05-08,Refunded,USD,VQXO2DWN717Y,Square
PAY200004,ORD100104,CUST00740,PayPal,2561.27,2022-07-21,Failed,AED,3LNAEHPITZA7,Square
PAY200005,ORD101082,CUST00693,PayPal,4342.78,2024-06-27,Completed,AED,EQ1ZQ8DAYDW9,Razorpay
PAY200006,ORD100265,CUST00208,Bank Transfer,3400.39,2025-04-19,Refunded,GBP,R1TR4B5UD6GK,Stripe
PAY200007,ORD101379,CUST00741,Cash on Delivery,3595.77,2024-01-21,Failed,AED,5SAXYK2E58F3,Paytm
PAY200008,ORD101198,CUST00039,PayPal,3957.24,2024-02-27,Refunded,SGD,MQOQOPYCWEU9,PayPal
PAY200009,ORD100290,CUST00092,Cash on Delivery,1643.18,2022-08-25,Refunded,GBP,3NA7HN98X16F,Razorpay
PAY200010,ORD100230,CUST00635,PayPal,-2714.06,2023-03-31,Pending,GBP,TKCAKDP3CA4B,Stripe
PAY200011,ORD100754,CUST00073,Cash on Delivery,1916.43,2024-01-17,Refunded,GBP,O2I5WLLDAAE1,Paytm
PAY200012,ORD100861,CUST00266,Net Banking,3855.1,2022-11-15,Refunded,USD,LIM06ETCQR3E,Square
PAY200013,ORD100762,CUST00784,Credit Card,2835.8,2024-11-03,Failed,GBP,JN7BYVF0AKK1,PayPal
PAY200014,ORD100573,CUST00433,,3877.16,2024-08-17,Completed,GBP,CDQCSENJXTXI,Adyen
PAY200015,ORD100125,CUST00222,UPI,533.63,2023-10-14,Pending,SGD,AGP34SLQGBUL,Paytm
PAY200016,ORD101081,CUST00413,Debit Card,4907.26,2024-07-12,Failed,USD,QPEQ6YF84Z7H,Square
PAY200017,ORD100821,CUST00488,UPI,2116.97,2022-10-11,Pending,INR,6PSRB6Y2S79V,Razorpay
PAY200018,ORD100361,CUST00059,Cash on Delivery,3484.91,2024-01-29,Pending,GBP,A2Y7VFHPD6VQ,PayPal
PAY200019,ORD100018,CUST00322,Net Banking,999.67,2023-10-21,Refunded,USD,0S5RMJPCZA3S,Razorpay
PAY200020,ORD_GHOST_13,CUST00186,Bank Transfer,-2410.44,2024-04-04,Pending,AED,0GZGXRDCQN5P,Stripe
